Log data
地址       消息
69F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
71A10000   卸载 C:\WINDOWS.0\system32\ws2help.dll
71A20000   卸载 C:\WINDOWS.0\system32\ws2_32.dll
73640000   卸载 C:\WINDOWS.0\system32\MSCTFIME.IME
73AF0000   卸载 C:\WINDOWS.0\system32\avicap32.dll
73B40000   卸载 C:\WINDOWS.0\system32\msvfw32.dll
73FA0000   卸载 C:\WINDOWS.0\system32\usp10.dll
74680000   卸载 C:\WINDOWS.0\system32\MSCTF.dll
74BE0000   卸载 C:\WINDOWS.0\system32\oleacc.dll
74CF0000   卸载 C:\WINDOWS.0\system32\mlang.dll
75C60000   卸载 C:\WINDOWS.0\system32\urlmon.dll
76060000   卸载 C:\WINDOWS.0\system32\setupapi.dll
762D0000   卸载 C:\WINDOWS.0\system32\winsta.dll
762F0000   卸载 C:\WINDOWS.0\system32\msimg32.dll
76300000   卸载 C:\WINDOWS.0\system32\imm32.dll
76320000   卸载 C:\WINDOWS.0\system32\comdlg32.dll
765E0000   卸载 C:\WINDOWS.0\system32\crypt32.dll
76680000   卸载 C:\WINDOWS.0\system32\wininet.dll
76990000   卸载 C:\WINDOWS.0\system32\ole32.dll
76B10000   卸载 C:\WINDOWS.0\system32\winmm.dll
76BC0000   卸载 C:\WINDOWS.0\system32\psapi.dll
76C00000   卸载 C:\WINDOWS.0\system32\wintrust.dll
76C60000   卸载 C:\WINDOWS.0\system32\imagehlp.dll
76D30000   卸载 C:\WINDOWS.0\system32\iphlpapi.dll
76DB0000   卸载 C:\WINDOWS.0\system32\msasn1.dll
76E50000   卸载 C:\WINDOWS.0\system32\rtutils.dll
76E60000   卸载 C:\WINDOWS.0\system32\rasman.dll
76E80000   卸载 C:\WINDOWS.0\system32\tapi32.dll
76EB0000   卸载 C:\WINDOWS.0\system32\rasapi32.dll
76F20000   卸载 C:\WINDOWS.0\system32\wtsapi32.dll
76FA0000   卸载 C:\WINDOWS.0\system32\clbcatq.dll
77020000   卸载 C:\WINDOWS.0\system32\comres.dll
770F0000   卸载 C:\WINDOWS.0\system32\oleaut32.dll
77180000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77BD0000   卸载 C:\WINDOWS.0\system32\version.dll
77BE0000   卸载 C:\WINDOWS.0\system32\msvcrt.dll
77D10000   卸载 C:\WINDOWS.0\system32\USER32.dll
77DA0000   卸载 C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   卸载 C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   卸载 C:\WINDOWS.0\system32\GDI32.dll
77F40000   卸载 C:\WINDOWS.0\system32\shlwapi.dll
77FC0000   卸载 C:\WINDOWS.0\system32\Secur32.dll
78130000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C420000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
7C630000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   卸载 C:\WINDOWS.0\system32\kernel32.dll
7C920000   卸载 C:\WINDOWS.0\system32\ntdll.dll
7D590000   卸载 C:\WINDOWS.0\system32\shell32.dll
           进程已终止

           文件 'C:\Program Files\Tencent\QQIntl\Bin\QQ.exe'
           ID 00000C54 的新进程已创建
00401BFB   ID 00000C58 的主线程已创建
00400000   Module C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
76990000   Module C:\WINDOWS.0\system32\ole32.dll
77BE0000   Module C:\WINDOWS.0\system32\msvcrt.dll
77D10000   Module C:\WINDOWS.0\system32\USER32.dll
77DA0000   Module C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   Module C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   Module C:\WINDOWS.0\system32\GDI32.dll
77FC0000   Module C:\WINDOWS.0\system32\Secur32.dll
78130000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C630000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   Module C:\WINDOWS.0\system32\kernel32.dll
7C920000   Module C:\WINDOWS.0\system32\ntdll.dll
76300000   Module C:\WINDOWS.0\system32\imm32.dll
62C20000   Module C:\WINDOWS.0\system32\lpk.dll
73FA0000   Module C:\WINDOWS.0\system32\usp10.dll
00401BFB   程序入口点
74680000   Module C:\WINDOWS.0\system32\MSCTF.dll
69F00000   Module C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
77180000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77F40000   Module C:\WINDOWS.0\system32\shlwapi.dll
30000000   Module C:\Program Files\Tencent\QQIntl\Bin\Common.dll
11F00000   Module C:\Program Files\Tencent\QQIntl\Bin\zlib.dll
11000000   Module C:\Program Files\Tencent\QQIntl\Bin\libexpatw.dll
71A20000   Module C:\WINDOWS.0\system32\ws2_32.dll
71A10000   Module C:\WINDOWS.0\system32\ws2help.dll
76680000   Module C:\WINDOWS.0\system32\wininet.dll
765E0000   Module C:\WINDOWS.0\system32\crypt32.dll
76DB0000   Module C:\WINDOWS.0\system32\msasn1.dll
770F0000   Module C:\WINDOWS.0\system32\oleaut32.dll
76B10000   Module C:\WINDOWS.0\system32\winmm.dll
73AF0000   Module C:\WINDOWS.0\system32\avicap32.dll
77BD0000   Module C:\WINDOWS.0\system32\version.dll
73B40000   Module C:\WINDOWS.0\system32\msvfw32.dll
7D590000   Module C:\WINDOWS.0\system32\shell32.dll
76060000   Module C:\WINDOWS.0\system32\setupapi.dll
76D30000   Module C:\WINDOWS.0\system32\iphlpapi.dll
68D60000   Module C:\WINDOWS.0\system32\dbghelp.dll
11100000   Module C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
7C420000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
76320000   Module C:\WINDOWS.0\system32\comdlg32.dll
76C00000   Module C:\WINDOWS.0\system32\wintrust.dll
76C60000   Module C:\WINDOWS.0\system32\imagehlp.dll
5FDD0000   Module C:\WINDOWS.0\system32\netapi32.dll
76EB0000   Module C:\WINDOWS.0\system32\rasapi32.dll
76E60000   Module C:\WINDOWS.0\system32\rasman.dll
76E80000   Module C:\WINDOWS.0\system32\tapi32.dll
76E50000   Module C:\WINDOWS.0\system32\rtutils.dll
31800000   Module C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
11200000   Module C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   Module C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   Module C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
30800000   Module C:\Program Files\Tencent\QQIntl\Bin\GF.dll
32100000   Module C:\Program Files\Tencent\QQIntl\Bin\xGraphic32.dll
762F0000   Module C:\WINDOWS.0\system32\msimg32.dll
12200000   Module C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
11500000   Module C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
10000000   Module C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
00A30000   Module C:\Program Files\Tencent\QQIntl\Bin\lua.dll
74BE0000   Module C:\WINDOWS.0\system32\oleacc.dll
60B30000   Module C:\Program Files\Tencent\QQIntl\Bin\msvcp60.dll
75C60000   Module C:\WINDOWS.0\system32\urlmon.dll
68800000   Module C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
61210000   Module C:\Program Files\Tencent\QQIntl\Bin\AppUtil.dll
00A90000   Module C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   Module C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
67000000   Module C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
4AE90000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6002.22509_x-ww_c7dad023\GdiPlus.dll
76BC0000   Module C:\WINDOWS.0\system32\psapi.dll
76F20000   Module C:\WINDOWS.0\system32\wtsapi32.dll
762D0000   Module C:\WINDOWS.0\system32\winsta.dll
73640000   Module C:\WINDOWS.0\system32\MSCTFIME.IME
7C8106E9   ID 00000C68 的新线程已创建
67400000   Module C:\Program Files\Tencent\QQIntl\Bin\AppMisc.dll
11E00000   Module C:\Program Files\Tencent\QQIntl\Bin\UtilGif.dll
65700000   Module C:\Program Files\Tencent\QQIntl\Bin\AFCtrl.dll
11800000   Module C:\Program Files\Tencent\QQIntl\Bin\ProcessSession.dll
65100000   Module C:\Program Files\Tencent\QQIntl\Bin\LoginPanel.dll
76FA0000   Module C:\WINDOWS.0\system32\clbcatq.dll
77020000   Module C:\WINDOWS.0\system32\comres.dll
74CF0000   Module C:\WINDOWS.0\system32\mlang.dll
39700000   Module C:\Program Files\Tencent\QQIntl\Bin\RICHED20.DLL
01BD0000   Module C:\Program Files\Tencent\QQIntl\Bin\PreloginLogic.dll
34300000   Module C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOPlatform.dll
34000000   Module C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOCommon.dll
62000000   Module C:\Program Files\Tencent\QQIntl\Bin\TaskTray.dll
7C8106E9   ID 00000C78 的新线程已创建
66200000   Module C:\Program Files\Tencent\QQIntl\Bin\AppFramework.dll
68000000   Module C:\WINDOWS.0\system32\rsaenh.dll
7C8106E9   ID 00000C7C 的新线程已创建
           线程 00000C78 已终止, 退出代码 0
           线程 00000C7C 已终止, 退出代码 0
7C8106E9   ID 00000CB0 的新线程已创建
7C8106E9   ID 00000C50 的新线程已创建
02930000   Module C:\WINDOWS.0\system32\xpsp2res.dll
7C8106E9   ID 00000CC0 的新线程已创建
7C8106E9   ID 00000CC4 的新线程已创建
32000000   Module C:\Program Files\Tencent\QQIntl\Bin\TXPFProxy.dll
7C8106E9   ID 0000087C 的新线程已创建
61C00000   Module C:\Program Files\Tencent\QQIntl\Bin\MainFrame.dll
7C8106E9   ID 00000C6C 的新线程已创建
71A25D88   断点位于 ws2_32.71A25D88
00400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
00A30000   卸载 C:\Program Files\Tencent\QQIntl\Bin\lua.dll
00A90000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   卸载 C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
01BD0000   卸载 C:\Program Files\Tencent\QQIntl\Bin\PreloginLogic.dll
02930000   卸载 C:\WINDOWS.0\system32\xpsp2res.dll
10000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
11000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libexpatw.dll
11100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
11200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
11500000   卸载 C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
11800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\ProcessSession.dll
11E00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\UtilGif.dll
11F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\zlib.dll
12200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
30000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\Common.dll
30800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\GF.dll
31800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
32000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\TXPFProxy.dll
32100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\xGraphic32.dll
34000000   卸载 C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOCommon.dll
34300000   卸载 C:\Program Files\Common Files\Tencent\TXSSO\1.2.2.1\bin\SSOPlatform.dll
39700000   卸载 C:\Program Files\Tencent\QQIntl\Bin\RICHED20.DLL
4AE90000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6002.22509_x-ww_c7dad023\GdiPlus.dll
5FDD0000   卸载 C:\WINDOWS.0\system32\netapi32.dll
60B30000   卸载 C:\Program Files\Tencent\QQIntl\Bin\msvcp60.dll
61210000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppUtil.dll
61C00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\MainFrame.dll
62000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\TaskTray.dll
62C20000   卸载 C:\WINDOWS.0\system32\lpk.dll
65100000   卸载 C:\Program Files\Tencent\QQIntl\Bin\LoginPanel.dll
65700000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFCtrl.dll
66200000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppFramework.dll
67000000   卸载 C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
67400000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AppMisc.dll
68000000   卸载 C:\WINDOWS.0\system32\rsaenh.dll
68800000   卸载 C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
68D60000   卸载 C:\WINDOWS.0\system32\dbghelp.dll
69F00000   卸载 C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
71A10000   卸载 C:\WINDOWS.0\system32\ws2help.dll
71A20000   卸载 C:\WINDOWS.0\system32\ws2_32.dll
73640000   卸载 C:\WINDOWS.0\system32\MSCTFIME.IME
73AF0000   卸载 C:\WINDOWS.0\system32\avicap32.dll
73B40000   卸载 C:\WINDOWS.0\system32\msvfw32.dll
73FA0000   卸载 C:\WINDOWS.0\system32\usp10.dll
74680000   卸载 C:\WINDOWS.0\system32\MSCTF.dll
74BE0000   卸载 C:\WINDOWS.0\system32\oleacc.dll
74CF0000   卸载 C:\WINDOWS.0\system32\mlang.dll
75C60000   卸载 C:\WINDOWS.0\system32\urlmon.dll
76060000   卸载 C:\WINDOWS.0\system32\setupapi.dll
762D0000   卸载 C:\WINDOWS.0\system32\winsta.dll
762F0000   卸载 C:\WINDOWS.0\system32\msimg32.dll
76300000   卸载 C:\WINDOWS.0\system32\imm32.dll
76320000   卸载 C:\WINDOWS.0\system32\comdlg32.dll
765E0000   卸载 C:\WINDOWS.0\system32\crypt32.dll
76680000   卸载 C:\WINDOWS.0\system32\wininet.dll
76990000   卸载 C:\WINDOWS.0\system32\ole32.dll
76B10000   卸载 C:\WINDOWS.0\system32\winmm.dll
76BC0000   卸载 C:\WINDOWS.0\system32\psapi.dll
76C00000   卸载 C:\WINDOWS.0\system32\wintrust.dll
76C60000   卸载 C:\WINDOWS.0\system32\imagehlp.dll
76D30000   卸载 C:\WINDOWS.0\system32\iphlpapi.dll
76DB0000   卸载 C:\WINDOWS.0\system32\msasn1.dll
76E50000   卸载 C:\WINDOWS.0\system32\rtutils.dll
76E60000   卸载 C:\WINDOWS.0\system32\rasman.dll
76E80000   卸载 C:\WINDOWS.0\system32\tapi32.dll
76EB0000   卸载 C:\WINDOWS.0\system32\rasapi32.dll
76F20000   卸载 C:\WINDOWS.0\system32\wtsapi32.dll
76FA0000   卸载 C:\WINDOWS.0\system32\clbcatq.dll
77020000   卸载 C:\WINDOWS.0\system32\comres.dll
770F0000   卸载 C:\WINDOWS.0\system32\oleaut32.dll
77180000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77BD0000   卸载 C:\WINDOWS.0\system32\version.dll
77BE0000   卸载 C:\WINDOWS.0\system32\msvcrt.dll
77D10000   卸载 C:\WINDOWS.0\system32\USER32.dll
77DA0000   卸载 C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   卸载 C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   卸载 C:\WINDOWS.0\system32\GDI32.dll
77F40000   卸载 C:\WINDOWS.0\system32\shlwapi.dll
77FC0000   卸载 C:\WINDOWS.0\system32\Secur32.dll
78130000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C420000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
7C630000   卸载 C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   卸载 C:\WINDOWS.0\system32\kernel32.dll
7C920000   卸载 C:\WINDOWS.0\system32\ntdll.dll
7D590000   卸载 C:\WINDOWS.0\system32\shell32.dll
           进程已终止

           文件 'C:\Program Files\Tencent\QQIntl\Bin\QQ.exe'
           ID 00000E6C 的新进程已创建
00401BFB   ID 00000E78 的主线程已创建
00400000   Module C:\Program Files\Tencent\QQIntl\Bin\QQ.exe
76990000   Module C:\WINDOWS.0\system32\ole32.dll
77BE0000   Module C:\WINDOWS.0\system32\msvcrt.dll
77D10000   Module C:\WINDOWS.0\system32\USER32.dll
77DA0000   Module C:\WINDOWS.0\system32\ADVAPI32.dll
77E50000   Module C:\WINDOWS.0\system32\RPCRT4.dll
77EF0000   Module C:\WINDOWS.0\system32\GDI32.dll
77FC0000   Module C:\WINDOWS.0\system32\Secur32.dll
78130000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\MSVCR80.dll
7C630000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.ATL_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_473666fd\ATL80.DLL
7C800000   Module C:\WINDOWS.0\system32\kernel32.dll
7C920000   Module C:\WINDOWS.0\system32\ntdll.dll
76300000   Module C:\WINDOWS.0\system32\imm32.dll
62C20000   Module C:\WINDOWS.0\system32\lpk.dll
73FA0000   Module C:\WINDOWS.0\system32\usp10.dll
00401BFB   程序入口点
74680000   Module C:\WINDOWS.0\system32\MSCTF.dll
69F00000   Module C:\Program Files\Tencent\QQIntl\Bin\HummerEngine.dll
77180000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
77F40000   Module C:\WINDOWS.0\system32\shlwapi.dll
30000000   Module C:\Program Files\Tencent\QQIntl\Bin\Common.dll
11F00000   Module C:\Program Files\Tencent\QQIntl\Bin\zlib.dll
11000000   Module C:\Program Files\Tencent\QQIntl\Bin\libexpatw.dll
71A20000   Module C:\WINDOWS.0\system32\ws2_32.dll
71A10000   Module C:\WINDOWS.0\system32\ws2help.dll
76680000   Module C:\WINDOWS.0\system32\wininet.dll
765E0000   Module C:\WINDOWS.0\system32\crypt32.dll
76DB0000   Module C:\WINDOWS.0\system32\msasn1.dll
770F0000   Module C:\WINDOWS.0\system32\oleaut32.dll
76B10000   Module C:\WINDOWS.0\system32\winmm.dll
73AF0000   Module C:\WINDOWS.0\system32\avicap32.dll
77BD0000   Module C:\WINDOWS.0\system32\version.dll
73B40000   Module C:\WINDOWS.0\system32\msvfw32.dll
7D590000   Module C:\WINDOWS.0\system32\shell32.dll
76060000   Module C:\WINDOWS.0\system32\setupapi.dll
76D30000   Module C:\WINDOWS.0\system32\iphlpapi.dll
68D60000   Module C:\WINDOWS.0\system32\dbghelp.dll
11100000   Module C:\Program Files\Tencent\QQIntl\Bin\tinyxml.dll
7C420000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.VC80.CRT_1fc8b3b9a1e18e3b_8.0.50727.4053_x-ww_e6967989\msvcp80.dll
76320000   Module C:\WINDOWS.0\system32\comdlg32.dll
76C00000   Module C:\WINDOWS.0\system32\wintrust.dll
76C60000   Module C:\WINDOWS.0\system32\imagehlp.dll
5FDD0000   Module C:\WINDOWS.0\system32\netapi32.dll
76EB0000   Module C:\WINDOWS.0\system32\rasapi32.dll
76E60000   Module C:\WINDOWS.0\system32\rasman.dll
76E80000   Module C:\WINDOWS.0\system32\tapi32.dll
76E50000   Module C:\WINDOWS.0\system32\rtutils.dll
31800000   Module C:\Program Files\Tencent\QQIntl\Bin\KernelUtil.dll
11200000   Module C:\Program Files\Tencent\QQIntl\Bin\xImage.dll
11300000   Module C:\Program Files\Tencent\QQIntl\Bin\libpng.dll
11400000   Module C:\Program Files\Tencent\QQIntl\Bin\libjpegturbo.dll
30800000   Module C:\Program Files\Tencent\QQIntl\Bin\GF.dll
32100000   Module C:\Program Files\Tencent\QQIntl\Bin\xGraphic32.dll
762F0000   Module C:\WINDOWS.0\system32\msimg32.dll
12200000   Module C:\Program Files\Tencent\QQIntl\Bin\arkGraphic.dll
11500000   Module C:\Program Files\Tencent\QQIntl\Bin\jgImage.dll
10000000   Module C:\Program Files\Tencent\QQIntl\Bin\arkIOStub.dll
00A30000   Module C:\Program Files\Tencent\QQIntl\Bin\lua.dll
74BE0000   Module C:\WINDOWS.0\system32\oleacc.dll
60B30000   Module C:\Program Files\Tencent\QQIntl\Bin\msvcp60.dll
75C60000   Module C:\WINDOWS.0\system32\urlmon.dll
68800000   Module C:\Program Files\Tencent\QQIntl\Bin\AFBase.dll
61210000   Module C:\Program Files\Tencent\QQIntl\Bin\AppUtil.dll
00A90000   Module C:\Program Files\Tencent\QQIntl\Bin\AFUtil.dll
01640000   Module C:\Program Files\Tencent\QQIntl\Bin\IPC.dll
67000000   Module C:\Program Files\Tencent\QQIntl\Bin\FlashService.dll
4AE90000   Module C:\WINDOWS.0\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.6002.22509_x-ww_c7dad023\GdiPlus.dll
76BC0000   Module C:\WINDOWS.0\system32\psapi.dll
76F20000   Module C:\WINDOWS.0\system32\wtsapi32.dll
762D0000   Module C:\WINDOWS.0\system32\winsta.dll
73640000   Module C:\WINDOWS.0\system32\MSCTFIME.IME
7C8106E9   ID 00000E20 的新线程已创建
67400000   Module C:\Program Files\Tencent\QQIntl\Bin\AppMisc.dll
11E00000   Module C:\Program Files\Tencent\QQIntl\Bin\UtilGif.dll
65700000   Module C:\Program Files\Tencent\QQIntl\Bin\AFCtrl.dll
11800000   Module C:\Program Files\Tencent\QQIntl\Bin\ProcessSession.dll
